id|year|title|genres|original_language|productions_companies|overview|tagline|budget|revenue
48138|2011|Unknown|Action, Mystery, Thriller|en|Studio Babelsberg|A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.|Take Back Your Life|30000000.0|130786397.0
48231|2011|A Dangerous Method|Drama, Thriller|en|Dangerous Method Film AG|Seduced by the challenge of an impossible case, the driven Dr. Carl Jung takes the unbalanced yet beautiful Sabina Spielrein as his patient. Jung’s weapon is the method of his master, the renowned Sigmund Freud. Both men fall under Sabina’s spell.|Why deny what you desire the most.|15000000.0|27462041.0
17578|2011|The Adventures of Tintin|Adventure, Animation, Mystery|en|Paramount|Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.|This year, discover how far adventure will take you.|130000000.0|371940071.0
23629|2011|Sucker Punch|Action, Fantasy, Thriller|en|Legendary Entertainment|A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.|You will be unprepared|82000000.0|89792502.0
51876|2011|Limitless|Thriller, Mystery, Science Fiction|en|Relativity Media|"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film."|What if a pill could make you rich and powerful?|27000000.0|161849455.0
68817|2011|Footloose|Drama, Music, Romance|en|Weston Pictures|Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.|There comes a time to cut loose|24000000.0|63543328.0
44826|2011|Hugo|Adventure, Drama, Family|en|Paramount|Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.|One of the most legendary directors of our time takes you on an extraordinary adventure.|170000000.0|185770160.0
44896|2011|Rango|Animation, Comedy, Family, Western, Adventure|en|Paramount|When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.|Heroes come in all different colors.|135000000.0|245724603.0
51828|2011|One Day|Drama, Romance|en|Color Force|A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.|Twenty years. Two people.|15000000.0|59389433.0
39254|2011|Real Steel|Action, Science Fiction, Drama|en|Wardour Street Pictures|Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.|If you get one shot, make it real.|110000000.0|299268508.0
38050|2011|The Adjustment Bureau|Science Fiction, Thriller, Romance|en|Universal Pictures|A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.|Fight for your fate.|50200000.0|127869379.0
37430|2011|Conan the Barbarian|Adventure, Fantasy, Action|en|Dark Horse Entertainment|A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan (Jason Momoa) realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.|Enter an age undreamed of|90000000.0|48795021.0
